股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
000001,2026-03-13,10.57,10.57,10.64,10.51,84193915.0,920839360.0,,,0.434,
000001,2026-03-16,10.57,10.56,10.61,10.52,71560301.0,782089440.0,0.8515,-0.01,0.369,-0.0946
000001,2026-03-17,10.55,10.67,10.71,10.54,107665681.0,1187565490.0,1.6098,0.11,0.555,1.0417
000001,2026-03-18,10.68,10.6,10.68,10.55,79107940.0,867711250.0,1.2184,-0.07,0.408,-0.656
000001,2026-03-19,10.56,10.52,10.61,10.5,62421195.0,681086520.0,1.0377,-0.08,0.322,-0.7547
000001,2026-03-20,10.51,10.41,10.58,10.4,83408256.0,903819000.0,1.711,-0.11,0.43,-1.0456
000001,2026-03-23,10.32,10.09,10.32,10.07,158008830.0,1666328300.0,2.4015,-0.32,0.814,-3.074
000001,2026-03-24,10.16,10.52,10.53,10.16,162225130.0,1744746700.0,3.667,0.43,0.836,4.2616
000001,2026-03-25,10.53,10.58,10.59,10.43,74477991.0,809739890.0,1.5209,0.06,0.384,0.5703
000001,2026-03-26,10.55,10.58,10.69,10.54,82766409.0,909199430.0,1.4178,0.0,0.427,0.0
000001,2026-03-27,10.55,10.66,10.69,10.47,88412862.0,972821270.0,2.0794,0.08,0.456,0.7561
000001,2026-03-30,10.62,10.63,10.69,10.58,63252210.0,696208270.0,1.0319,-0.03,0.326,-0.2814
000001,2026-03-31,10.64,10.72,10.82,10.63,116456534.0,1294675720.0,1.7874,0.09,0.6,0.8467
000001,2026-04-01,10.73,10.79,10.87,10.72,91892539.0,1025538830.0,1.3993,0.07,0.474,0.653
000001,2026-04-02,10.79,10.91,10.96,10.77,114889522.0,1292756710.0,1.7609,0.12,0.592,1.1121
000001,2026-04-03,10.92,10.76,10.92,10.73,75775733.0,845283640.0,1.7415,-0.15,0.391,-1.3749
000001,2026-04-07,10.76,10.67,10.78,10.61,60795521.0,671322750.0,1.5799,-0.09,0.313,-0.8364
000001,2026-04-08,10.75,10.86,10.86,10.69,81297589.0,906308310.0,1.5933,0.19,0.419,1.7807
000001,2026-04-09,10.81,10.74,10.86,10.7,60236493.0,669239290.0,1.4733,-0.12,0.31,-1.105
000001,2026-04-10,10.74,10.73,10.77,10.71,48104693.0,534088990.0,0.5587,-0.01,0.248,-0.0931
000001,2026-04-13,10.69,10.71,10.73,10.67,40610413.0,449056810.0,0.5592,-0.02,0.209,-0.1864
