股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
600000,2026-07-06 00:00:00,8.68,8.93,8.92,79376206,698878040.00,0.238,,8.62,,6100.00
600000,2026-07-07 00:00:00,8.89,8.97,8.89,51779460,458252570.00,0.156,,8.78,,37700.00
600000,2026-07-08 00:00:00,8.85,9.03,9.00,54468742,488055510.00,0.164,,8.79,,35100.00
600000,2026-07-09 00:00:00,8.97,9.01,8.98,49029732,438686950.00,0.147,,8.87,,13000.00
600000,2026-07-10 00:00:00,8.98,9.11,9.06,76502191,691188280.00,0.230,,8.92,,26100.00
600009,2026-07-06 00:00:00,22.86,23.46,23.25,12989215,301584210.00,0.635,,22.82,,100.00
600009,2026-07-07 00:00:00,23.25,23.31,22.83,10515706,241158110.00,0.514,,22.80,,1200.00
600009,2026-07-08 00:00:00,22.77,23.07,22.80,9471409,216040300.00,0.463,,22.61,,1800.00
600009,2026-07-09 00:00:00,22.70,22.78,22.48,11769020,264642890.00,0.575,,22.35,,4700.00
600009,2026-07-10 00:00:00,22.54,23.02,22.84,14161623,321995500.00,0.692,,22.19,,1100.00
600010,2026-07-06 00:00:00,2.24,2.26,2.20,453568800,1003291130.00,1.448,,2.19,,111300.00
600010,2026-07-07 00:00:00,2.19,2.24,2.23,445695970,977388660.00,1.423,,2.16,,1402900.00
600010,2026-07-08 00:00:00,2.21,2.23,2.19,316995660,696177900.00,1.012,,2.18,,336400.00
600010,2026-07-09 00:00:00,2.18,2.19,2.09,733146920,1548263100.00,2.341,,2.04,,551700.00
600010,2026-07-10 00:00:00,2.08,2.19,2.17,709710150,1518520700.00,2.266,,2.05,,452500.00
600011,2026-07-06 00:00:00,7.07,7.08,7.01,112121129,786710900.00,1.020,,6.95,,66200.00
600011,2026-07-07 00:00:00,7.01,7.01,6.80,122442665,839073640.00,1.113,,6.78,,27300.00
600011,2026-07-08 00:00:00,6.76,6.87,6.76,91532112,621334350.00,0.832,,6.72,,38100.00
600011,2026-07-09 00:00:00,6.76,6.79,6.70,116524940,779644600.00,1.060,,6.64,,50700.00
600011,2026-07-10 00:00:00,6.70,6.92,6.84,137354090,935617330.00,1.249,,6.62,,57000.00
600015,2026-07-06 00:00:00,6.64,6.80,6.79,72826706,488898520.00,0.473,,6.60,,2200.00
600015,2026-07-07 00:00:00,6.76,6.80,6.76,55166382,371304070.00,0.359,,6.66,,15700.00
600015,2026-07-08 00:00:00,6.73,6.82,6.80,50514045,342838170.00,0.328,,6.70,,5400.00
600015,2026-07-09 00:00:00,6.78,6.79,6.73,55171787,371460130.00,0.359,,6.68,,42000.00
600015,2026-07-10 00:00:00,6.74,6.81,6.78,52788626,356646190.00,0.343,,6.71,,20100.00
600016,2026-07-06 00:00:00,3.28,3.35,3.34,265804590,881252810.00,0.750,,3.26,,97100.00
600016,2026-07-07 00:00:00,3.33,3.34,3.31,188605010,623071890.00,0.532,,3.28,,79900.00
600016,2026-07-08 00:00:00,3.30,3.33,3.33,187758790,621392240.00,0.530,,3.27,,118500.00
600016,2026-07-09 00:00:00,3.31,3.32,3.31,192598330,635803670.00,0.543,,3.28,,43100.00
600016,2026-07-10 00:00:00,3.30,3.35,3.34,194741640,646964260.00,0.549,,3.29,,251500.00
600018,2026-07-06 00:00:00,4.87,5.00,4.99,71634273,353766150.00,0.308,,4.83,,9000.00
600018,2026-07-07 00:00:00,4.99,5.03,5.01,77576103,387617140.00,0.334,,4.93,,8500.00
600018,2026-07-08 00:00:00,5.00,5.09,5.07,71591301,362378460.00,0.308,,4.96,,10100.00
600018,2026-07-09 00:00:00,5.06,5.10,5.07,52139972,264022320.00,0.224,,5.01,,3000.00
600018,2026-07-10 00:00:00,5.04,5.09,5.06,52182174,263637030.00,0.225,,5.00,,14200.00
600019,2026-07-06 00:00:00,5.58,5.67,5.65,67565829,379684010.00,0.316,,5.55,,34900.00
600019,2026-07-07 00:00:00,5.64,5.65,5.56,53134024,296203790.00,0.248,,5.54,,200.00
600019,2026-07-08 00:00:00,5.56,5.62,5.56,51969353,289489930.00,0.243,,5.52,,1000.00
600019,2026-07-09 00:00:00,5.54,5.54,5.46,65535995,358475480.00,0.306,,5.43,,19000.00
600019,2026-07-10 00:00:00,5.47,5.53,5.48,85815597,467968470.00,0.401,,5.37,,12200.00
600023,2026-07-06 00:00:00,5.40,5.45,5.41,34628281,186990710.00,0.258,,5.35,,27100.00
600023,2026-07-07 00:00:00,5.40,5.40,5.31,28709967,152895590.00,0.214,,5.29,,7100.00
600023,2026-07-08 00:00:00,5.28,5.40,5.36,31909037,171093270.00,0.238,,5.27,,7300.00
600023,2026-07-09 00:00:00,5.33,5.37,5.31,30562322,162092030.00,0.228,,5.26,,31900.00
600023,2026-07-10 00:00:00,5.31,5.47,5.40,48595697,261976200.00,0.362,,5.28,,3800.00
600025,2026-07-06 00:00:00,9.17,9.26,9.23,22737152,208425670.00,0.122,,9.02,,3100.00
600025,2026-07-07 00:00:00,9.19,9.32,9.25,27114477,249281840.00,0.146,,9.09,,26500.00
600025,2026-07-08 00:00:00,9.24,9.50,9.49,41590690,391129800.00,0.223,,9.15,,24800.00
600025,2026-07-09 00:00:00,9.43,9.65,9.60,36307797,347612130.00,0.195,,9.42,,7700.00
600025,2026-07-10 00:00:00,9.61,9.65,9.62,35531620,340092650.00,0.191,,9.47,,14400.00
600026,2026-07-06 00:00:00,17.97,18.20,17.37,83293567,1464387400.00,2.176,,17.24,,12600.00
600026,2026-07-07 00:00:00,17.31,17.56,16.41,75563448,1261776610.00,1.974,,16.34,,4500.00
600026,2026-07-08 00:00:00,16.38,16.62,15.83,57695348,936387680.00,1.507,,15.82,,17400.00
600026,2026-07-09 00:00:00,16.07,16.23,15.93,64058138,1017257450.00,1.673,,15.57,,24300.00
600026,2026-07-10 00:00:00,15.50,15.97,15.77,60615187,951366680.00,1.584,,15.18,,7100.00
600027,2026-07-06 00:00:00,4.53,4.56,4.54,65345466,295565370.00,0.709,,4.47,,15000.00
600027,2026-07-07 00:00:00,4.54,4.54,4.45,61361530,274142090.00,0.666,,4.44,,27100.00
600027,2026-07-08 00:00:00,4.44,4.49,4.46,39036193,174065240.00,0.424,,4.42,,5100.00
600027,2026-07-09 00:00:00,4.47,4.47,4.43,48281683,213711840.00,0.524,,4.40,,500.00
600027,2026-07-10 00:00:00,4.43,4.54,4.50,78908307,353500770.00,0.856,,4.39,,46500.00
600028,2026-07-06 00:00:00,4.70,4.84,4.82,290675600,1388191200.00,0.307,,4.67,,134300.00
600028,2026-07-07 00:00:00,4.82,4.82,4.80,246031360,1169359580.00,0.260,,4.69,,227200.00
600028,2026-07-08 00:00:00,4.80,4.88,4.83,245572590,1187868340.00,0.259,,4.76,,158100.00
600028,2026-07-09 00:00:00,4.83,4.87,4.81,217152170,1046749020.00,0.229,,4.77,,94700.00
600028,2026-07-10 00:00:00,4.76,4.77,4.76,228977560,1086701400.00,0.242,,4.70,,123260.00
600029,2026-07-06 00:00:00,5.21,5.29,5.23,102505156,537095720.00,0.761,,5.18,,91400.00
600029,2026-07-07 00:00:00,5.20,5.21,5.12,116541705,599175260.00,0.865,,5.10,,8100.00
600029,2026-07-08 00:00:00,5.05,5.11,5.06,89545212,453014380.00,0.664,,5.03,,2100.00
600029,2026-07-09 00:00:00,5.01,5.06,5.05,84860762,425636610.00,0.630,,4.99,,7200.00
600029,2026-07-10 00:00:00,5.06,5.13,5.11,86505230,438314600.00,0.642,,4.99,,69000.00
600030,2026-07-06 00:00:00,29.52,29.65,29.23,223854400,6534266200.00,1.838,,28.92,,52150.00
600030,2026-07-07 00:00:00,29.14,29.14,28.45,189730750,5421569100.00,1.558,,28.25,,97500.00
600030,2026-07-08 00:00:00,28.29,28.55,28.00,135465070,3823541500.00,1.113,,27.98,,131500.00
600030,2026-07-09 00:00:00,28.01,28.76,28.68,190382870,5375263000.00,1.564,,27.80,,108600.00
600030,2026-07-10 00:00:00,28.60,28.74,28.40,167482390,4762803800.00,1.376,,28.25,,82600.00
600031,2026-07-06 00:00:00,18.52,19.08,18.89,105703997,1991437300.00,1.247,,18.40,,25200.00
600031,2026-07-07 00:00:00,19.30,19.98,19.44,168222030,3310171300.00,1.985,,19.30,,62900.00
600031,2026-07-08 00:00:00,19.21,19.40,18.85,92769237,1771143700.00,1.095,,18.83,,9400.00
600031,2026-07-09 00:00:00,18.72,18.80,18.57,88332787,1623769100.00,1.042,,18.14,,10500.00
600031,2026-07-10 00:00:00,18.50,19.35,18.86,80412319,1518889800.00,0.949,,18.35,,24900.00
600036,2026-07-06 00:00:00,35.70,36.76,36.73,97154407,3625395500.00,0.471,,35.52,,67600.00
600036,2026-07-07 00:00:00,36.72,36.86,36.55,65258740,2448739000.00,0.316,,36.30,,33300.00
600036,2026-07-08 00:00:00,36.36,36.97,36.94,76713452,2899053600.00,0.372,,36.15,,64300.00
600036,2026-07-09 00:00:00,36.70,36.81,36.55,76564557,2875450200.00,0.371,,36.37,,63000.00
600036,2026-07-10 00:00:00,36.61,36.92,36.88,79377153,2911440800.00,0.385,,36.33,,71000.00
600039,2026-07-06 00:00:00,8.45,8.59,8.56,18952589,159618810.00,0.218,,8.23,,0.00
600039,2026-07-07 00:00:00,8.47,8.67,8.47,19303174,164618530.00,0.222,,8.39,,4000.00
600039,2026-07-08 00:00:00,8.56,8.82,8.73,22168189,192570590.00,0.255,,8.43,,6600.00
600039,2026-07-09 00:00:00,8.70,8.74,8.50,15332821,131156419.00,0.176,,8.45,,200.00
600039,2026-07-10 00:00:00,8.54,8.55,8.44,12944953,109383166.00,0.149,,8.36,,4300.00
600048,2026-07-06 00:00:00,4.69,4.78,4.76,124528922,588267970.00,1.040,,4.65,,20800.00
600048,2026-07-07 00:00:00,4.75,4.76,4.58,138036150,639076380.00,1.153,,4.57,,54300.00
600048,2026-07-08 00:00:00,4.58,4.65,4.63,100224708,459845620.00,0.837,,4.51,,9600.00
600048,2026-07-09 00:00:00,4.61,4.65,4.60,92281560,423768330.00,0.771,,4.54,,47400.00
600048,2026-07-10 00:00:00,4.61,4.84,4.81,209426560,996278180.00,1.750,,4.58,,55200.00
600050,2026-07-06 00:00:00,4.06,4.11,4.11,122837495,500849570.00,0.396,,4.03,,76700.00
600050,2026-07-07 00:00:00,4.10,4.10,4.05,112169092,454709900.00,0.362,,4.03,,14200.00
600050,2026-07-08 00:00:00,4.04,4.09,4.09,127161916,517508070.00,0.410,,4.02,,90200.00
600050,2026-07-09 00:00:00,4.07,4.15,4.10,168595590,687333020.00,0.544,,4.04,,78700.00
600050,2026-07-10 00:00:00,4.09,4.29,4.20,271019330,1139393730.00,0.875,,4.07,,114800.00
600061,2026-07-06 00:00:00,6.63,6.68,6.66,45468490,300820470.00,0.711,,6.57,,102500.00
600061,2026-07-07 00:00:00,6.63,6.65,6.52,35229869,230230710.00,0.551,,6.47,,7300.00
600061,2026-07-08 00:00:00,6.50,6.55,6.47,28852724,186892950.00,0.451,,6.44,,6800.00
600061,2026-07-09 00:00:00,6.46,6.57,6.55,36853608,239337760.00,0.576,,6.42,,9100.00
600061,2026-07-10 00:00:00,6.55,6.55,6.50,36902285,238995210.00,0.577,,6.42,,13900.00
600066,2026-07-06 00:00:00,28.91,29.65,29.34,24584343,715926700.00,1.110,,28.36,,3800.00
600066,2026-07-07 00:00:00,29.30,29.52,29.07,16438113,479087660.00,0.743,,28.83,,3500.00
600066,2026-07-08 00:00:00,28.91,29.44,28.77,10397945,299884500.00,0.470,,28.59,,700.00
600066,2026-07-09 00:00:00,28.70,28.88,28.21,21363406,606589110.00,0.965,,28.10,,600.00
600066,2026-07-10 00:00:00,28.28,28.81,28.40,14480458,408913140.00,0.654,,27.43,,500.00
600085,2026-07-06 00:00:00,23.25,23.75,23.71,10753094,252892770.00,0.784,,23.02,,1900.00
600085,2026-07-07 00:00:00,23.62,23.66,23.09,7243472,167783750.00,0.528,,22.96,,300.00
600085,2026-07-08 00:00:00,22.97,23.55,23.40,8478492,197260780.00,0.618,,22.71,,2100.00
600085,2026-07-09 00:00:00,23.31,23.65,23.12,8026195,186083340.00,0.585,,22.93,,0.00
600085,2026-07-10 00:00:00,23.07,23.81,23.68,12337778,289621550.00,0.900,,22.70,,6100.00
600089,2026-07-06 00:00:00,21.78,21.98,21.35,82725273,1782603600.00,1.637,,21.27,,36000.00
600089,2026-07-07 00:00:00,21.35,21.35,20.60,100149822,2084989500.00,1.982,,20.59,,50300.00
600089,2026-07-08 00:00:00,20.60,20.72,20.05,85981997,1749578500.00,1.702,,20.03,,72400.00
600089,2026-07-09 00:00:00,20.00,20.08,20.04,137871820,2715356700.00,2.729,,19.27,,145300.00
600089,2026-07-10 00:00:00,20.06,20.49,20.06,114146759,2310744900.00,2.259,,19.91,,32600.00
600104,2026-07-06 00:00:00,10.13,10.27,10.26,63094061,643999330.00,0.549,,10.03,,34300.00
600104,2026-07-07 00:00:00,10.26,10.32,10.13,52817820,535699370.00,0.460,,10.05,,13600.00
600104,2026-07-08 00:00:00,10.08,10.16,10.02,36374801,365375010.00,0.316,,9.95,,7100.00
600104,2026-07-09 00:00:00,10.01,10.01,9.91,43014472,426458270.00,0.374,,9.86,,14200.00
600104,2026-07-10 00:00:00,9.92,10.25,10.12,71374913,720398490.00,0.621,,9.82,,41400.00
600111,2026-07-06 00:00:00,48.66,48.77,47.31,73027652,3483263100.00,2.020,,47.10,,24600.00
600111,2026-07-07 00:00:00,47.00,47.68,47.45,49237551,2321217500.00,1.362,,46.80,,35600.00
600111,2026-07-08 00:00:00,47.25,47.27,46.02,53939659,2514740500.00,1.492,,46.00,,125500.00
600111,2026-07-09 00:00:00,45.50,45.98,42.98,162379080,6975361900.00,4.492,,41.42,,69959.00
600111,2026-07-10 00:00:00,42.17,43.30,42.51,97668995,4130830900.00,2.702,,40.51,,52100.00
600115,2026-07-06 00:00:00,3.80,3.89,3.85,234777210,902907480.00,1.379,,3.77,,32300.00
600115,2026-07-07 00:00:00,3.81,3.83,3.74,247860100,932867440.00,1.456,,3.72,,42000.00
600115,2026-07-08 00:00:00,3.67,3.71,3.67,223721540,819988350.00,1.314,,3.62,,100500.00
600115,2026-07-09 00:00:00,3.61,3.63,3.61,242568070,869571700.00,1.425,,3.54,,147700.00
600115,2026-07-10 00:00:00,3.61,3.70,3.66,169834390,619866500.00,0.998,,3.58,,45800.00
600150,2026-07-06 00:00:00,36.95,38.09,37.64,152102950,5735515600.00,2.021,,36.95,,37700.00
600150,2026-07-07 00:00:00,37.64,38.18,37.33,97505693,3644105100.00,1.296,,36.95,,31800.00
600150,2026-07-08 00:00:00,37.32,37.32,35.98,138136890,5015752700.00,1.836,,35.46,,42000.00
600150,2026-07-09 00:00:00,35.99,36.63,36.06,114679405,4081272800.00,1.524,,35.00,,59251.00
600150,2026-07-10 00:00:00,36.00,38.26,37.04,194667300,7247729700.00,2.587,,35.73,,42500.00
600160,2026-07-06 00:00:00,48.80,50.77,49.05,97680184,4804459800.00,3.618,,47.60,,30500.00
600160,2026-07-07 00:00:00,48.05,48.77,46.58,83359052,3935069800.00,3.088,,46.11,,60500.00
600160,2026-07-08 00:00:00,46.58,48.15,45.72,85436057,3948178400.00,3.165,,44.90,,54600.00
600160,2026-07-09 00:00:00,45.92,46.88,46.00,68619685,3125417100.00,2.542,,44.63,,40700.00
600160,2026-07-10 00:00:00,45.97,46.97,43.42,103947637,4660570200.00,3.850,,43.35,,53100.00
600161,2026-07-06 00:00:00,12.15,12.45,12.36,17096726,210681620.00,0.865,,12.08,,2900.00
600161,2026-07-07 00:00:00,12.31,12.32,11.84,13603300,163293000.00,0.688,,11.82,,10500.00
600161,2026-07-08 00:00:00,11.89,12.05,11.86,9731448,115444768.00,0.492,,11.74,,0.00
600161,2026-07-09 00:00:00,11.80,12.01,11.81,9822827,116036110.00,0.497,,11.65,,6000.00
600161,2026-07-10 00:00:00,11.82,12.20,12.08,17509692,210532430.00,0.886,,11.63,,400.00
600176,2026-07-06 00:00:00,71.88,72.80,63.81,237731820,15783344000.00,5.986,,63.81,,47000.00
600176,2026-07-07 00:00:00,63.37,64.21,60.00,214963180,13141548200.00,5.413,,58.73,,141700.00
600176,2026-07-08 00:00:00,60.96,61.54,56.06,198832620,11505823700.00,5.006,,55.27,,80400.00
600176,2026-07-09 00:00:00,57.00,58.86,58.70,249144970,14177805000.00,6.273,,54.03,,40600.00
600176,2026-07-10 00:00:00,58.38,63.00,55.70,245116640,14561807000.00,6.172,,55.67,,138700.00
600183,2026-07-06 00:00:00,163.00,164.00,154.27,60775485,9515916700.00,2.538,,149.61,,14000.00
600183,2026-07-07 00:00:00,154.19,156.46,150.77,48406596,7317721100.00,2.022,,146.80,,23000.00
600183,2026-07-08 00:00:00,153.85,154.95,145.46,45129835,6736456800.00,1.885,,145.20,,32800.00
600183,2026-07-09 00:00:00,149.98,158.03,157.40,64980880,9884752100.00,2.714,,144.80,,22000.00
600183,2026-07-10 00:00:00,160.00,163.48,149.39,63401261,9972337700.00,2.648,,149.25,,27300.00
600188,2026-07-06 00:00:00,17.54,19.05,18.80,116642052,2146818000.00,1.957,,17.45,,6500.00
600188,2026-07-07 00:00:00,18.67,19.04,18.19,64757876,1186745870.00,1.086,,18.00,,29300.00
600188,2026-07-08 00:00:00,18.21,18.97,18.06,64996760,1199395160.00,1.090,,17.83,,6200.00
600188,2026-07-09 00:00:00,17.95,18.52,17.88,53623826,963268990.00,0.900,,17.64,,2900.00
600188,2026-07-10 00:00:00,17.44,18.31,18.16,58449361,1045922000.00,0.981,,17.31,,14100.00
600196,2026-07-06 00:00:00,23.28,24.24,24.08,53240688,1271215480.00,2.513,,23.01,,13600.00
600196,2026-07-07 00:00:00,23.82,23.90,23.19,34408048,809834440.00,1.624,,23.19,,12800.00
600196,2026-07-08 00:00:00,23.20,23.65,22.95,23866241,554527900.00,1.127,,22.88,,11800.00
600196,2026-07-09 00:00:00,22.74,23.38,22.95,26662927,609150730.00,1.259,,22.50,,18100.00
600196,2026-07-10 00:00:00,22.88,23.74,23.45,37760611,878157120.00,1.782,,22.47,,27700.00
600219,2026-07-06 00:00:00,4.19,4.31,4.19,166878400,705428430.00,1.453,,4.17,,24000.00
600219,2026-07-07 00:00:00,4.17,4.17,4.09,119135152,490850010.00,1.037,,4.07,,2000.00
600219,2026-07-08 00:00:00,4.08,4.13,4.03,114225715,463905310.00,0.995,,4.03,,90000.00
600219,2026-07-09 00:00:00,4.00,4.04,4.01,161175860,638389180.00,1.404,,3.89,,80400.00
600219,2026-07-10 00:00:00,4.00,4.17,4.08,187766000,764785480.00,1.635,,3.96,,86600.00
600233,2026-07-06 00:00:00,17.00,17.70,17.41,44693846,779813090.00,1.306,,16.97,,5200.00
600233,2026-07-07 00:00:00,17.30,17.74,17.12,25951645,448164300.00,0.758,,17.06,,100.00
600233,2026-07-08 00:00:00,17.00,17.29,16.75,25323741,428033830.00,0.740,,16.67,,100.00
600233,2026-07-09 00:00:00,16.66,16.78,16.66,23971879,398188290.00,0.700,,16.46,,1000.00
600233,2026-07-10 00:00:00,16.66,17.06,16.74,41793144,701670210.00,1.221,,16.30,,21800.00
600276,2026-07-06 00:00:00,54.40,57.77,56.77,179698210,10153086400.00,2.817,,53.77,,48140.00
600276,2026-07-07 00:00:00,56.40,56.50,55.36,107722116,5989364900.00,1.689,,54.88,,48500.00
600276,2026-07-08 00:00:00,55.57,56.76,54.01,95782739,5273411200.00,1.502,,53.99,,48760.00
600276,2026-07-09 00:00:00,53.20,55.77,55.61,110832177,6049882800.00,1.738,,52.85,,57600.00
600276,2026-07-10 00:00:00,54.60,57.48,55.75,133618942,7492062000.00,2.095,,54.55,,59200.00
600309,2026-07-06 00:00:00,69.19,73.48,71.02,47174613,3358450000.00,1.507,,68.45,,4200.00
600309,2026-07-07 00:00:00,73.64,74.41,71.05,65352983,4730950900.00,2.088,,70.66,,5200.00
600309,2026-07-08 00:00:00,71.50,72.23,70.02,39932515,2825245800.00,1.276,,69.68,,5200.00
600309,2026-07-09 00:00:00,70.03,70.03,68.88,41375927,2834034300.00,1.322,,67.41,,7100.00
600309,2026-07-10 00:00:00,68.50,70.16,68.71,41039014,2820229900.00,1.311,,66.73,,3200.00
600346,2026-07-06 00:00:00,18.06,19.46,18.74,64571230,1213436530.00,0.917,,17.94,,6300.00
600346,2026-07-07 00:00:00,18.95,18.95,17.00,86265384,1496698300.00,1.226,,16.87,,2100.00
600346,2026-07-08 00:00:00,16.95,17.25,16.64,41383457,700382130.00,0.588,,16.51,,1400.00
