股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
000001,2026-03-09 00:00:00,10.43,10.4,10.46,10.38,83589238.0,900716850.0,0.431,-0.03,,-0.2876
000001,2026-03-10 00:00:00,10.41,10.45,10.45,10.37,79011168.0,850573540.0,0.407,0.05,,0.4808
000001,2026-03-11 00:00:00,10.43,10.53,10.54,10.41,72053464.0,781041010.0,0.371,0.08,,0.7656
000001,2026-03-12 00:00:00,10.51,10.58,10.6,10.49,75490558.0,824171950.0,0.389,0.05,,0.4748
000001,2026-03-13 00:00:00,10.57,10.57,10.64,10.51,84193915.0,920839360.0,0.434,-0.01,,-0.0945
000002,2026-03-09 00:00:00,4.65,4.65,4.67,4.62,92022291.0,426883200.0,0.947,0.0,,0.0
000002,2026-03-10 00:00:00,4.66,4.67,4.69,4.65,63955629.0,298634050.0,0.658,0.02,,0.4301
000002,2026-03-11 00:00:00,4.66,4.67,4.69,4.64,77062306.0,359564830.0,0.793,0.0,,0.0
000002,2026-03-12 00:00:00,4.66,4.65,4.68,4.63,75863123.0,353013910.0,0.781,-0.02,,-0.4283
000002,2026-03-13 00:00:00,4.65,4.66,4.73,4.64,116130132.0,544481450.0,1.195,0.01,,0.2151
000063,2026-03-09 00:00:00,36.0,35.7,36.0,34.8,149206980.0,5261724200.0,3.705,-0.3,,-0.8333
000063,2026-03-10 00:00:00,36.16,36.87,36.93,36.06,99600867.0,3643111300.0,2.473,1.17,,3.2773
000063,2026-03-11 00:00:00,37.0,37.12,37.9,36.99,113584992.0,4251218000.0,2.82,0.25,,0.6781
000063,2026-03-12 00:00:00,36.81,37.12,38.1,36.68,101379123.0,3787622600.0,2.517,0.0,,0.0
000063,2026-03-13 00:00:00,36.8,36.46,37.22,36.35,73166993.0,2685444300.0,1.817,-0.66,,-1.778
000100,2026-03-09 00:00:00,4.64,4.68,4.71,4.56,560352780.0,2635880800.0,2.929,0.04,,0.8621
000100,2026-03-10 00:00:00,4.77,4.74,4.85,4.72,384433290.0,1865645300.0,2.009,0.06,,1.2821
